	space	simu	kraken2 + bracken	metaphlan3	motus3	metaphlan4
SAMEA2467048	gtdb207	refKrak	0.0795929295113545	0.1099928200261421	0.0332452016597197	0.0265734740303789
SAMEA2467049	gtdb207	refKrak	0.1376447543619346	0.1731998621437949	0.0451517892185047	0.021104122651732
SAMEA2467050	gtdb207	refKrak	0.1087313296063961	0.1897067521151106	0.0521329479920975	0.0266088792530354
SAMEA2467051	gtdb207	refKrak	0.1350161366767624	0.1874507314721971	0.0502672801096872	0.0174501571842351
SAMEA2467052	gtdb207	refKrak	0.1082515728534553	0.2195978210704284	0.0428803208373284	0.0219599681624898
SAMEA2467053	gtdb207	refKrak	0.0532367422132699	0.0964529376487828	0.0398495625757366	0.026406345899698
SAMEA2467054	gtdb207	refKrak	0.1194939005753024	0.1420887495717895	0.0389200307056261	0.026179596300743
SAMEA2467055	gtdb207	refKrak	0.0995111545474889	0.1853484549176614	0.0288132591878325	0.0306298137018918
SAMEA2467056	gtdb207	refKrak	0.1123527074725138	0.2293721650138563	0.0740165801556134	0.0389756817280591
SAMEA2467057	gtdb207	refKrak	0.0569405002208218	0.1629353171903594	0.0182657937453696	0.0261609309279584
SAMEA2467058	gtdb207	refKrak	0.1130082456247875	0.1423995507223922	0.045751333925957	0.0193298771973139
SAMEA2467059	gtdb207	refKrak	0.1068522981184719	0.0989063395122871	0.0737205378623065	0.0152916619037868
SAMEA2467060	gtdb207	refKrak	0.1607824550198237	0.2273968362951571	0.0314523710614645	0.0252276299814886
SAMEA2467061	gtdb207	refKrak	0.0623965871505352	0.1761639961364649	0.033345112665688	0.0309541969917921
SAMEA2467062	gtdb207	refKrak	0.0778715606130677	0.1816570662208913	0.0233639607912953	0.0399111696035855
SAMEA2467063	gtdb207	refKrak	0.0872258594729106	0.0999247633555165	0.0669507706448213	0.0739580516226839
SAMEA2467064	gtdb207	refKrak	0.1324825897282975	0.1727967029894574	0.0718887036843493	0.016266762242468
SAMEA2467065	gtdb207	refKrak	0.0872405023375263	0.244507533097184	0.0302094279122956	0.0175832464639564
SAMEA2467066	gtdb207	refKrak	0.1003095685604743	0.1878820650924902	0.0384280205814997	0.0184512439769058
SAMEA2467067	gtdb207	refKrak	0.0928684462026379	0.1700178434747156	0.0349536683379074	0.023010962529708
SAMEA2467068	gtdb207	refKrak	0.0700875502617934	0.0420671927449722	0.0344017325023527	0.0194233999507742
SAMEA2467069	gtdb207	refKrak	0.1134029512830988	0.1547630711350319	0.0480747419583959	0.0291587382655232
SAMEA2467070	gtdb207	refKrak	0.1043649425194746	0.1952733213066669	0.0410523068932134	0.0235500382291812
SAMEA2467071	gtdb207	refKrak	0.1028246738355544	0.1468318159488664	0.0463804984566486	0.0276197794905683
SAMEA2467072	gtdb207	refKrak	0.0924821140207919	0.1822297903895333	0.0373071362902141	0.0254462877954018
SAMEA2467073	gtdb207	refKrak	0.1192142601372698	0.1732603667280449	0.0318127594714242	0.0199342088644839
SAMEA2467074	gtdb207	refKrak	0.1078800768903259	0.2099771910588732	0.0222672964531069	0.0303281280875569
SAMEA2467075	gtdb207	refKrak	0.1121873805322756	0.1983398895446677	0.0355819782038441	0.0346979679225211
SAMEA2467076	gtdb207	refKrak	0.1080840299432961	0.1835103964870873	0.0401978967589515	0.0289185424343887
SAMEA2467077	gtdb207	refKrak	0.1330099165627708	0.2155430288556212	0.0352743715484521	0.0220362400372134
SAMEA2467078	gtdb207	refKrak	0.1064434886587693	0.1207632190709893	0.0260064013980525	0.0249769030309058
SAMEA2467079	gtdb207	refKrak	0.0911956721009627	0.2103902903740847	0.074128391328206	0.0198110322026534
SAMEA2467080	gtdb207	refKrak	0.1098636763090913	0.2258069317925761	0.0442851918680926	0.0393365528416998
SAMEA2467081	gtdb207	refKrak	0.1224564872868547	0.1590728708632408	0.0633893330043683	0.0297933164977326
SAMEA2467082	gtdb207	refKrak	0.0683262605373215	0.1469297424973459	0.03160928508134	0.1135929281181007
SAMEA2467083	gtdb207	refKrak	0.0851756724648051	0.1849978051544292	0.0235011177168993	0.0411878419530197
SAMEA2467084	gtdb207	refKrak	0.1150663722752808	0.1571082585549992	0.0548851975938904	0.0327529433041186
SAMEA2467085	gtdb207	refKrak	0.1213236218811286	0.1595506435244114	0.0900615599699174	0.0224608701053532
SAMEA3136623	gtdb207	refKrak	0.0503579147192801	0.1833429317100836	0.0372779379005324	0.0184315028894571
SAMEA3136624	gtdb207	refKrak	0.0688509689925842	0.1161772251731768	0.0354680236949112	0.0294230182614472
SAMEA3136625	gtdb207	refKrak	0.0700040374057577	0.1423581653140476	0.0481874276010109	0.0381591526572857
SAMEA3136626	gtdb207	refKrak	0.0436120048143922	0.1120288354086298	0.0331132123443294	0.0222013814985665
SAMEA3136627	gtdb207	refKrak	0.0815293615233744	0.1863368366582878	0.0374286379417568	0.0294871365772468
SAMEA3136628	gtdb207	refKrak	0.0890799133217435	0.181596982642772	0.0448506518319287	0.0559833328104195
SAMEA3136629	gtdb207	refKrak	0.1102164976344291	0.1561760137459888	0.0365726307612926	0.0381462944729
SAMEA3136630	gtdb207	refKrak	0.0646481632619942	0.1502040069354278	0.0304773192828721	0.0372937863653889
SAMEA3136631	gtdb207	refKrak	0.0543147581905483	0.1233357403177454	0.0334869905062364	0.0305180736448365
SAMEA3136632	gtdb207	refKrak	0.0786038649544342	0.2186271331379669	0.0293627483826347	0.037826418396316
SAMEA3136633	gtdb207	refKrak	0.1000908633412583	0.2401082371823744	0.1070188714038342	0.0654061978179567
SAMEA3136634	gtdb207	refKrak	0.090105778116696	0.1912663641808365	0.0368737971397059	0.0357965985770745
SAMEA3136635	gtdb207	refKrak	0.108922889711625	0.2262487787301468	0.0919665894470801	0.0373973938779237
SAMEA3136636	gtdb207	refKrak	0.0449149876860197	0.2311268244975664	0.0351099483912494	0.0150226410327713
SAMEA3136637	gtdb207	refKrak	0.0726685467396366	0.162004501435525	0.0417255245749983	0.0357162197599312
SAMEA3136638	gtdb207	refKrak	0.0609927496808638	0.1644509298717641	0.0392044572696324	0.0235251399245519
SAMEA3136639	gtdb207	refKrak	0.0839694080601297	0.1848990172783795	0.0458185696850215	0.0130567550841489
SAMEA3136640	gtdb207	refKrak	0.060317819552422	0.1917815614992195	0.0375100879922652	0.0238109205679867
SAMEA3136641	gtdb207	refKrak	0.107203875612753	0.1423734025007747	0.0381861219209909	0.0250649398340416
SAMEA3136642	gtdb207	refKrak	0.0848655188632991	0.2491316907191925	0.0357829711214695	0.0314454923125632
SAMEA3136643	gtdb207	refKrak	0.053469939408233	0.2454542385203287	0.0495357919318048	0.0327881185870566
SAMEA3136644	gtdb207	refKrak	0.0664905833792683	0.1529144925778848	0.0299171500740009	0.0313922772787043
SAMEA3136645	gtdb207	refKrak	0.0684837072252765	0.1419982397141653	0.0318841689764617	0.022985487201284
SAMEA3136646	gtdb207	refKrak	0.0446717624314935	0.1021778445280364	0.0293114958644889	0.0209420485665145
SAMEA3136647	gtdb207	refKrak	0.0416339015437127	0.0473645154072778	0.0492350235726867	0.0179920322961722
SAMEA3136648	gtdb207	refKrak	0.0970116734964849	0.1861801870665199	0.0429850473873367	0.0342005623713422
SAMEA3136649	gtdb207	refKrak	0.0173729864011568	0.1080278650354728	0.0165088296906744	0.0083678667702537
SAMEA3136650	gtdb207	refKrak	0.0409628166243323	0.1996267506605469	0.0369905661530999	0.0102206216698963
SAMEA3136651	gtdb207	refKrak	0.0850282451128689	0.1955958968616969	0.1000920009644054	0.0287900738995646
SAMEA3136652	gtdb207	refKrak	0.0657747784135475	0.1993615514222495	0.045244047680058	0.0320442139171079
SAMEA3136653	gtdb207	refKrak	0.0692942050299912	0.2016089622777832	0.0460233558340392	0.05130426191677
SAMEA3136654	gtdb207	refKrak	0.0735408188853664	0.1409165640542967	0.0351544892652245	0.0319873068475588
SAMEA3136655	gtdb207	refKrak	0.0810132625625979	0.1436078887646781	0.060618272452819	0.0400817507976016
SAMEA3136656	gtdb207	refKrak	0.0698716013557804	0.1056065258442891	0.055141736690919	0.0308515134243693
SAMEA3136657	gtdb207	refKrak	0.078361800265049	0.1360882074795149	0.0951025996968864	0.0446152163481873
SAMEA3136658	gtdb207	refKrak	0.0725073594357842	0.1314088277199258	0.0370886197420593	0.0361527486611747
SAMEA3136659	gtdb207	refKrak	0.0719485811860234	0.1772829459586114	0.0292386554449341	0.0255661004589469
SAMEA3136660	gtdb207	refKrak	0.0861081506460824	0.2114309927660051	0.0717916542887014	0.0892607315570019
SAMEA3136661	gtdb207	refKrak	0.0715929184403183	0.1853705187954789	0.0648037116009021	0.0283458973511083
SAMEA3136662	gtdb207	refKrak	0.0658313835556962	0.1835713295287416	0.0510782440312359	0.0201825519519615
SAMEA3136663	gtdb207	refKrak	0.0654633133228937	0.1749771917222872	0.03642609218876	0.0217744416416281
SAMEA3136664	gtdb207	refKrak	0.095972773735631	0.1766400909217889	0.0374220009100082	0.0318287021717719
SAMEA3136665	gtdb207	refKrak	0.1534888898208723	0.1465649582209421	0.0503255641418797	0.0263279609689579
SAMEA3136666	gtdb207	refKrak	0.070989863594209	0.1957368921247466	0.1073701531925251	0.028023186735032
SAMEA3136667	gtdb207	refKrak	0.0571017346719392	0.1566444370700393	0.0328947193349159	0.0239804910058469
SAMEA3136668	gtdb207	refKrak	0.0746686145695726	0.150833587975721	0.0713380494662893	0.0259645109021164
SAMEA3136669	gtdb207	refKrak	0.0678220265924479	0.1710340903178328	0.0373557149309199	0.0169068204138201
SAMEA3136670	gtdb207	refKrak	0.0701821487009658	0.1481610041283024	0.0431281066806235	0.0292264404309989
SAMEA3136671	gtdb207	refKrak	0.084777361173523	0.1637487929408203	0.0373730907594036	0.0192732985270427
SAMEA3136672	gtdb207	refKrak	0.0676713282152312	0.1394143177781736	0.0322555703506935	0.0310578138970808
SAMEA3136673	gtdb207	refKrak	0.0741971197491537	0.1946790755682651	0.0500166415024521	0.0298502019771034
SAMEA3136674	gtdb207	refKrak	0.054520838421113	0.1842183109643612	0.048933871942145	0.0367441049733128
SAMEA3136675	gtdb207	refKrak	0.0670470383631231	0.1636290705656672	0.0374628901345886	0.0321858970188987
SAMEA3136676	gtdb207	refKrak	0.0767074842454691	0.1412333571985128	0.0337884190144107	0.0289437851572395
SAMEA3136677	gtdb207	refKrak	0.0337657813770738	0.191931737278675	0.0187380146827204	0.0187058069383602
SAMEA3136678	gtdb207	refKrak	0.1097662309798389	0.1888997518913151	0.1392104490366808	0.0417369271935379
SAMEA3136679	gtdb207	refKrak	0.1002038860105874	0.1927652270729636	0.0935076888193671	0.0650247801130088
SAMEA3136680	gtdb207	refKrak	0.0568404138245725	0.1089781534135074	0.0333963054039664	0.0381139209078167
SAMEA3136681	gtdb207	refKrak	0.1073867404575257	0.2690293242360819	0.0557415412451693	0.0303061773654158
SAMEA3136682	gtdb207	refKrak	0.0992954296267456	0.2097306319586873	0.0688327839272855	0.1162949530821991
SAMEA3136683	gtdb207	refKrak	0.1070370417756291	0.2850961819944284	0.0257532834125609	0.0275607908012689
SAMEA3136684	gtdb207	refKrak	0.0944688883598805	0.2899355050515609	0.0382763213479766	0.0230538382383692
SAMEA3136685	gtdb207	refKrak	0.0872244530017879	0.1203234485470246	0.0422229736028202	0.0420677359938873
