sample	stat	space	simu	reference	motus3	metaphlan4	metaphlan3	kraken2
SAMEA3136727	Lost_mOTUs_frac	gtdb207	refKrak	0.0	0.0	0.0	0.0	0.0
SAMEA2467066	Kept_abundance	gtdb207	refKrak	1.0	0.9992961896181516	0.9999999999999998	1.0	1.0
SAMEA2467066	Kept_mOTUs	gtdb207	refKrak	618.0	517.0	436.0	184.0	719.0
SAMEA2467066	Raw_mOTUs	gtdb207	refKrak	618.0	519.0	436.0	184.0	719.0
SAMEA2467066	Lost_mOTUs	gtdb207	refKrak	0.0	2.0	0.0	0.0	0.0
SAMEA2467066	Lost_abundance	gtdb207	refKrak	0.0	0.0007038103818485	2.220446049250313e-16	1.1102230246251563e-16	1.1102230246251563e-16
SAMEA2467066	Lost_mOTUs_frac	gtdb207	refKrak	0.0	0.0038535645472061	0.0	0.0	0.0
SAMEA3136747	Kept_abundance	gtdb207	refKrak	0.9999999999999998	1.0	1.0	1.0000000000000002	1.0
SAMEA3136747	Kept_mOTUs	gtdb207	refKrak	357.0	337.0	286.0	121.0	649.0
SAMEA3136747	Raw_mOTUs	gtdb207	refKrak	357.0	337.0	286.0	121.0	649.0
SAMEA3136747	Lost_mOTUs	gtdb207	refKrak	0.0	0.0	0.0	0.0	0.0
SAMEA3136747	Lost_abundance	gtdb207	refKrak	2.220446049250313e-16	1.1102230246251563e-16	0.0	-2.220446049250313e-16	0.0
SAMEA3136747	Lost_mOTUs_frac	gtdb207	refKrak	0.0	0.0	0.0	0.0	0.0
SAMEA3136756	Kept_abundance	gtdb207	refKrak	1.0	0.9990538425105732	1.0	1.0	0.9999999999999998
SAMEA3136756	Kept_mOTUs	gtdb207	refKrak	534.0	526.0	450.0	157.0	842.0
SAMEA3136756	Raw_mOTUs	gtdb207	refKrak	534.0	529.0	450.0	157.0	842.0
SAMEA3136756	Lost_mOTUs	gtdb207	refKrak	0.0	3.0	0.0	0.0	0.0
SAMEA3136756	Lost_abundance	gtdb207	refKrak	0.0	0.0009461574894267	0.0	0.0	2.220446049250313e-16
SAMEA3136756	Lost_mOTUs_frac	gtdb207	refKrak	0.0	0.0056710775047258	0.0	0.0	0.0
SAMEA2467077	Kept_abundance	gtdb207	refKrak	1.0	0.9970857013866667	1.0	1.0	0.9999999999999998
SAMEA2467077	Kept_mOTUs	gtdb207	refKrak	610.0	541.0	472.0	165.0	762.0
SAMEA2467077	Raw_mOTUs	gtdb207	refKrak	610.0	543.0	472.0	165.0	762.0
SAMEA2467077	Lost_mOTUs	gtdb207	refKrak	0.0	2.0	0.0	0.0	0.0
SAMEA2467077	Lost_abundance	gtdb207	refKrak	0.0	0.0029142986133332	0.0	0.0	2.220446049250313e-16
SAMEA2467077	Lost_mOTUs_frac	gtdb207	refKrak	0.0	0.003683241252302	0.0	0.0	0.0
SAMEA2466917	Kept_abundance	gtdb207	refKrak	1.0	0.9992370362246548	1.0	1.0	1.0000000000000002
SAMEA2466917	Kept_mOTUs	gtdb207	refKrak	248.0	195.0	171.0	91.0	376.0
SAMEA2466917	Raw_mOTUs	gtdb207	refKrak	248.0	197.0	171.0	91.0	376.0
SAMEA2466917	Lost_mOTUs	gtdb207	refKrak	0.0	2.0	0.0	0.0	0.0
SAMEA2466917	Lost_abundance	gtdb207	refKrak	1.1102230246251563e-16	0.0007629637753452	0.0	0.0	-2.220446049250313e-16
SAMEA2466917	Lost_mOTUs_frac	gtdb207	refKrak	0.0	0.0101522842639593	0.0	0.0	0.0
SAMEA2467054	Kept_abundance	gtdb207	refKrak	1.0000000000000002	0.9986634105504448	1.0000000000000002	1.0	0.9999999999999998
SAMEA2467054	Kept_mOTUs	gtdb207	refKrak	648.0	598.0	528.0	200.0	808.0
SAMEA2467054	Raw_mOTUs	gtdb207	refKrak	648.0	602.0	528.0	200.0	808.0
SAMEA2467054	Lost_mOTUs	gtdb207	refKrak	0.0	4.0	0.0	0.0	0.0
SAMEA2467054	Lost_abundance	gtdb207	refKrak	-2.220446049250313e-16	0.0013365894495552	-2.220446049250313e-16	0.0	2.220446049250313e-16
SAMEA2467054	Lost_mOTUs_frac	gtdb207	refKrak	0.0	0.0066445182724252	0.0	0.0	0.0
SAMEA3136749	Kept_abundance	gtdb207	refKrak	1.0	0.9987996136505752	1.0	0.9999999999999998	1.0
SAMEA3136749	Kept_mOTUs	gtdb207	refKrak	520.0	482.0	409.0	152.0	718.0
SAMEA3136749	Raw_mOTUs	gtdb207	refKrak	520.0	486.0	409.0	152.0	718.0
SAMEA3136749	Lost_mOTUs	gtdb207	refKrak	0.0	4.0	0.0	0.0	0.0
SAMEA3136749	Lost_abundance	gtdb207	refKrak	1.1102230246251563e-16	0.0012003863494248	0.0	2.220446049250313e-16	1.1102230246251563e-16
SAMEA3136749	Lost_mOTUs_frac	gtdb207	refKrak	0.0	0.0082304526748971	0.0	0.0	0.0
SAMEA2467013	Kept_abundance	gtdb207	refKrak	1.0	0.997001311872874	1.0	1.0	0.9999999999999998
