	space	simu	simulation	kraken2 + bracken	metaphlan3	motus3	metaphlan4
SAMEA2467039	gtdb207	refKrak	735	850	189	620	594
SAMEA2467040	gtdb207	refKrak	540	686	170	436	412
SAMEA2467041	gtdb207	refKrak	478	648	169	407	398
SAMEA2467042	gtdb207	refKrak	620	793	199	512	491
SAMEA2467043	gtdb207	refKrak	466	616	144	376	338
SAMEA2467044	gtdb207	refKrak	563	710	171	488	490
SAMEA2467045	gtdb207	refKrak	532	649	166	433	405
SAMEA2467046	gtdb207	refKrak	563	745	183	514	505
SAMEA2467047	gtdb207	refKrak	392	523	122	331	288
SAMEA2467048	gtdb207	refKrak	480	611	166	393	363
SAMEA2467049	gtdb207	refKrak	598	723	162	498	458
SAMEA2467050	gtdb207	refKrak	616	791	179	533	519
SAMEA2467051	gtdb207	refKrak	537	668	158	444	408
SAMEA2467052	gtdb207	refKrak	456	615	142	406	393
SAMEA2467053	gtdb207	refKrak	459	603	132	388	376
SAMEA2467054	gtdb207	refKrak	613	808	194	530	519
SAMEA2467055	gtdb207	refKrak	634	832	182	557	546
SAMEA2467056	gtdb207	refKrak	501	679	161	434	408
SAMEA2467057	gtdb207	refKrak	418	545	133	368	361
SAMEA2467058	gtdb207	refKrak	405	584	140	354	348
SAMEA2467059	gtdb207	refKrak	418	548	125	315	296
SAMEA2467060	gtdb207	refKrak	551	667	155	478	445
SAMEA2467061	gtdb207	refKrak	732	852	210	614	590
SAMEA2467062	gtdb207	refKrak	557	755	173	474	456
SAMEA2467063	gtdb207	refKrak	541	705	173	461	449
SAMEA2467064	gtdb207	refKrak	383	647	140	353	338
SAMEA2467065	gtdb207	refKrak	565	711	169	487	480
SAMEA2467066	gtdb207	refKrak	594	719	180	469	430
SAMEA2467067	gtdb207	refKrak	611	704	200	517	488
SAMEA2467068	gtdb207	refKrak	473	556	125	310	270
SAMEA2467069	gtdb207	refKrak	480	579	139	387	362
SAMEA2467070	gtdb207	refKrak	489	653	160	429	396
SAMEA2467071	gtdb207	refKrak	649	674	165	464	385
SAMEA2467072	gtdb207	refKrak	671	793	181	570	548
SAMEA2467073	gtdb207	refKrak	430	674	152	397	390
SAMEA2467074	gtdb207	refKrak	609	781	171	534	506
SAMEA2467075	gtdb207	refKrak	551	715	159	477	454
SAMEA2467076	gtdb207	refKrak	532	717	186	464	452
SAMEA2467077	gtdb207	refKrak	583	762	160	492	466
SAMEA2467078	gtdb207	refKrak	593	735	192	509	509
SAMEA2467079	gtdb207	refKrak	414	507	129	345	312
SAMEA2467080	gtdb207	refKrak	616	766	174	529	495
SAMEA2467081	gtdb207	refKrak	597	681	150	433	369
SAMEA2467082	gtdb207	refKrak	462	546	106	310	254
SAMEA2467083	gtdb207	refKrak	755	835	165	546	468
SAMEA2467084	gtdb207	refKrak	658	643	151	438	355
SAMEA2467085	gtdb207	refKrak	704	636	135	393	313
SAMEA3136623	gtdb207	refKrak	286	506	92	259	249
SAMEA3136624	gtdb207	refKrak	373	542	139	335	324
SAMEA3136625	gtdb207	refKrak	431	843	163	410	363
SAMEA3136626	gtdb207	refKrak	344	453	94	299	288
SAMEA3136627	gtdb207	refKrak	583	800	181	513	515
SAMEA3136628	gtdb207	refKrak	328	825	112	293	258
SAMEA3136629	gtdb207	refKrak	477	846	182	430	414
SAMEA3136630	gtdb207	refKrak	525	673	133	477	456
SAMEA3136631	gtdb207	refKrak	393	556	138	339	346
SAMEA3136632	gtdb207	refKrak	578	851	172	506	483
SAMEA3136633	gtdb207	refKrak	295	642	99	242	215
SAMEA3136634	gtdb207	refKrak	472	636	145	430	423
SAMEA3136635	gtdb207	refKrak	309	511	113	268	244
SAMEA3136636	gtdb207	refKrak	301	433	102	259	247
SAMEA3136637	gtdb207	refKrak	380	800	125	350	312
SAMEA3136638	gtdb207	refKrak	481	632	154	424	401
SAMEA3136639	gtdb207	refKrak	273	459	98	229	204
SAMEA3136640	gtdb207	refKrak	422	552	121	368	355
SAMEA3136641	gtdb207	refKrak	592	780	168	494	473
SAMEA3136642	gtdb207	refKrak	641	809	166	564	543
SAMEA3136643	gtdb207	refKrak	358	696	126	324	289
SAMEA3136644	gtdb207	refKrak	634	781	196	545	542
SAMEA3136645	gtdb207	refKrak	541	729	159	473	466
SAMEA3136646	gtdb207	refKrak	346	535	130	311	301
SAMEA3136647	gtdb207	refKrak	212	335	80	181	161
SAMEA3136648	gtdb207	refKrak	515	787	163	457	442
SAMEA3136649	gtdb207	refKrak	199	383	74	176	172
SAMEA3136650	gtdb207	refKrak	279	429	87	248	231
SAMEA3136651	gtdb207	refKrak	470	796	149	417	392
SAMEA3136652	gtdb207	refKrak	560	915	167	493	463
SAMEA3136653	gtdb207	refKrak	399	736	145	352	329
SAMEA3136654	gtdb207	refKrak	606	816	186	525	509
SAMEA3136655	gtdb207	refKrak	363	717	137	306	282
SAMEA3136656	gtdb207	refKrak	421	552	158	361	341
SAMEA3136657	gtdb207	refKrak	351	818	114	294	260
SAMEA3136658	gtdb207	refKrak	609	866	190	545	522
SAMEA3136659	gtdb207	refKrak	591	750	162	509	492
SAMEA3136660	gtdb207	refKrak	280	783	97	253	219
SAMEA3136661	gtdb207	refKrak	276	646	99	247	209
SAMEA3136662	gtdb207	refKrak	344	533	113	305	297
SAMEA3136663	gtdb207	refKrak	422	760	141	390	355
SAMEA3136664	gtdb207	refKrak	398	738	142	355	333
SAMEA3136665	gtdb207	refKrak	309	558	135	249	228
SAMEA3136666	gtdb207	refKrak	388	832	141	361	339
