mOTU	msp
meta_mOTU_v3_13066	msp_0738:0.21108039944973758,msp_0894:0.7889196005502624
ext_mOTU_v3_26602	msp_0893
ext_mOTU_v3_17325	msp_0027
ext_mOTU_v3_27039	msp_1328:0.45665015168697487,msp_2023:0.5433498483130251
ref_mOTU_v3_03473	msp_0023
meta_mOTU_v3_12701	msp_0653
ref_mOTU_v3_00060	msp_0030:0.12041748893833716,msp_0100:0.043240150725851356,msp_0108:0.025144331984939525,msp_0140:0.009094613384682771,msp_0157:0.14570475825371637,msp_0241:0.1836771281481774,msp_0341:0.017637231953329953,msp_0633:0.013133087229065456,msp_1754:0.4419512093819001
ref_mOTU_v3_00255	msp_0600c
ref_mOTU_v3_05922	msp_0366:0.007130188804725151,msp_0659:0.9928698111952748
ref_mOTU_v3_02680	msp_0154
ref_mOTU_v3_03589	msp_0744
ref_mOTU_v3_07718	msp_0060
ref_mOTU_v3_07626	msp_0346
ext_mOTU_v3_17506	msp_0361:0.6846680260672159,msp_0555:0.31533197393278417
ext_mOTU_v3_26731	msp_0124
ref_mOTU_v3_07656	msp_0839
meta_mOTU_v3_13626	msp_0816c
ext_mOTU_v3_26293	msp_0124
meta_mOTU_v3_12501	msp_1290
ext_mOTU_v3_18004	msp_1523
ref_mOTU_v3_06391	msp_0473c
meta_mOTU_v3_12813	msp_1157
meta_mOTU_v3_13063	msp_0851
ref_mOTU_v3_07659	msp_1007
ext_mOTU_v3_26597	msp_0874
ext_mOTU_v3_16309	msp_1481
ref_mOTU_v3_07703	msp_0237
ref_mOTU_v3_01030	msp_1648
ext_mOTU_v3_17370	msp_0978:0.9630603551409265,msp_1345c:0.03693964485907356
ref_mOTU_v3_07616	msp_0542
ext_mOTU_v3_15403	msp_0052:0.03109701843765996,msp_1718:0.96890298156234
ext_mOTU_v3_26401	msp_0032:0.5995122798909964,msp_0089:0.0032772155304629986,msp_0196:0.10964147417868299,msp_0287:0.28591944343477954,msp_0417:0.0016495869650779307
meta_mOTU_v3_12325	msp_0484
ext_mOTU_v3_33183	msp_0032:0.1669877167614103,msp_0089:0.5675126215507945,msp_0381:0.2654996616877952
meta_mOTU_v3_13501	msp_0310
ext_mOTU_v3_18166	msp_1644
meta_mOTU_v3_12699	msp_0547
ext_mOTU_v3_17466	msp_0247
ref_mOTU_v3_01949	msp_0221
meta_mOTU_v3_12367	msp_0981
ext_mOTU_v3_16263	msp_1349
ref_mOTU_v3_08094	msp_0396
ref_mOTU_v3_03688	msp_0340
ext_mOTU_v3_26506	msp_0225
ext_mOTU_v3_17611	msp_1989
ref_mOTU_v3_03666	msp_0198
ref_mOTU_v3_03674	msp_0145
meta_mOTU_v3_13238	msp_1288
meta_mOTU_v3_12640	msp_0194
meta_mOTU_v3_12631	msp_1021
ext_mOTU_v3_17865	msp_0172:0.029164277641744906,msp_1564:0.9708357223582552
meta_mOTU_v3_13328	msp_0842
meta_mOTU_v3_12404	msp_0706
ref_mOTU_v3_02193	msp_0153:0.18276898192016197,msp_0883:0.817231018079838
ext_mOTU_v3_26617	msp_0560
ext_mOTU_v3_18152	msp_1146
meta_mOTU_v3_12696	msp_0947
ref_mOTU_v3_10413	msp_0766:0.04213684409723534,msp_1143:0.9578631559027647
ext_mOTU_v3_17660	msp_0599
ext_mOTU_v3_15423	msp_0946
ext_mOTU_v3_26913	msp_0831
ext_mOTU_v3_26225	msp_1256
ext_mOTU_v3_26435	msp_0358:0.0026767787335197557,msp_1478:0.032465855974212136,msp_1604:0.9648573652922682
meta_mOTU_v3_13928	msp_1125
ref_mOTU_v3_05249	msp_1205
meta_mOTU_v3_13824	msp_0957
ref_mOTU_v3_00321	msp_0403
ref_mOTU_v3_09167	msp_0066
ext_mOTU_v3_17895	msp_0725
ref_mOTU_v3_04662	msp_1084
ref_mOTU_v3_01564	msp_1223c
meta_mOTU_v3_13296	msp_0651
ref_mOTU_v3_03661	msp_0208
ext_mOTU_v3_17388	msp_0638:0.12463440006150273,msp_1051:0.8753655999384973
meta_mOTU_v3_12845	msp_0449
ext_mOTU_v3_26596	msp_0046
ext_mOTU_v3_26621	msp_0478:0.05283638407590945,msp_0931:0.7648601302049313,msp_1100:0.1823034857191592
meta_mOTU_v3_13448	msp_0684
meta_mOTU_v3_13055	msp_1156
ext_mOTU_v3_17386	msp_0229:0.853855651214134,msp_0275:0.14614434878586602
meta_mOTU_v3_14406	msp_1861
meta_mOTU_v3_12535	msp_0282
ref_mOTU_v3_03116	msp_0419
ext_mOTU_v3_18138	msp_1332
ext_mOTU_v3_18131	msp_1353
ext_mOTU_v3_20715	msp_0042:0.286108246485494,msp_0179:0.39819064681873817,msp_0433:0.0029499372704082337,msp_0989:0.3127511694253596
meta_mOTU_v3_13710	msp_0732
meta_mOTU_v3_14385	msp_0848
ext_mOTU_v3_28755	msp_1028c
meta_mOTU_v3_12840	msp_0617
meta_mOTU_v3_12736	msp_1047
ref_mOTU_v3_07665	msp_0215
ext_mOTU_v3_17446	msp_1065
ext_mOTU_v3_17875	msp_0358
meta_mOTU_v3_12400	msp_0105
ext_mOTU_v3_26616	msp_0854
meta_mOTU_v3_12403	msp_0457
ext_mOTU_v3_16127	msp_0785:0.2939561465136978,msp_0946:0.7060438534863022
ref_mOTU_v3_01578	msp_0031:0.006383437914602519,msp_0063:0.9936165620853975
meta_mOTU_v3_12700	msp_1679
meta_mOTU_v3_12235	msp_0105:0.003373672786833532,msp_0322:0.9966263272131665
meta_mOTU_v3_13520	msp_1233
ext_mOTU_v3_17436	msp_0665
ref_mOTU_v3_07679	msp_0048
ref_mOTU_v3_07589	msp_1827
ext_mOTU_v3_17404	msp_0780:0.8193565461084227,msp_1236:0.18064345389157727
ext_mOTU_v3_26494	msp_1877
ref_mOTU_v3_01912	msp_0437c
ext_mOTU_v3_17716	msp_0361
meta_mOTU_v3_12693	msp_0802
ext_mOTU_v3_26398	msp_0477:0.11061096468134764,msp_0903:0.8893890353186523
meta_mOTU_v3_13698	msp_1335
