metaphlan	clade	msp
SGB3321	t__SGB3321	msp_1441c
SGB8095	t__SGB8095	msp_0602c
SGB15382	t__SGB15382	msp_0781
SGB14379	t__SGB14379	msp_1596
SGB4675	t__SGB4675	msp_0745
SGB5066	t__SGB5066	msp_0294
SGB9307	t__SGB9307	msp_0695
SGB6187	t__SGB6187	msp_0347
SGB5068	t__SGB5068	msp_0376
SGB13965	t__SGB13965	msp_1210
SGB2240	t__SGB2240	msp_0327
SGB2241	t__SGB2241	msp_0508
SGB4811	t__SGB4811	msp_0436
SGB14298	t__SGB14298	msp_1319
SGB2219	t__SGB2219	msp_1108
SGB6445	t__SGB6445	msp_1285
SGB2111	t__SGB2111	msp_0836
SGB9392	t__SGB9392	msp_1631
SGB4317	t__SGB4317	msp_0569
SGB6371	t__SGB6371	msp_0856
SGB15408	t__SGB15408	msp_0218
SGB1005	t__SGB1005	msp_1856
SGB3994	t__SGB3994	msp_1415
SGB4146	t__SGB4146	msp_1817
SGB2068	t__SGB2068	msp_0051
SGB14308	t__SGB14308	msp_1875
SGB2076	t__SGB2076	msp_0608
SGB15342	t__SGB15342	msp_0389
SGB2089	t__SGB2089	msp_1475
SGB4613	t__SGB4613	msp_1684
SGB4767	t__SGB4767	msp_0930
SGB4028	t__SGB4028	msp_0973
SGB6499	t__SGB6499	msp_1162
SGB6817	t__SGB6817	msp_0938
SGB9269	t__SGB9269	msp_0768
SGB8589	t__SGB8589	msp_1888
SGB4029	t__SGB4029	msp_0500
SGB4871	t__SGB4871	msp_0164
SGB6140	t__SGB6140	msp_0621
SGB14911	t__SGB14911	msp_1902
SGB4886	t__SGB4886	msp_0168
SGB5099	t__SGB5099	msp_0582
SGB2275	t__SGB2275	msp_0635
SGB8630	t__SGB8630	msp_0782
SGB13983	t__SGB13983	msp_0430
SGB1939	t__SGB1939	msp_1814
SGB8767	t__SGB8767	msp_0465
SGB1945	t__SGB1945	msp_0264
SGB4664	t__SGB4664	msp_0305
SGB15154	t__SGB15154	msp_0478
SGB17256	t__SGB17256	msp_0419
SGB4537	t__SGB4537	msp_0337
SGB4626	t__SGB4626	msp_0379
SGB15211	t__SGB15211	msp_0487
SGB1437	t__SGB1437	msp_0667
SGB5234	t__SGB5234	msp_0995
SGB4339	t__SGB4339	msp_1363
SGB5906	t__SGB5906	msp_0482
SGB15126	t__SGB15126	msp_0364
SGB15462	t__SGB15462	msp_1655c
SGB4837	t__SGB4837	msp_0076
SGB1840	t__SGB1840	msp_0149
SGB7061	t__SGB7061	msp_0333
SGB4925	t__SGB4925	msp_0015
SGB1475	t__SGB1475	msp_0765
SGB2230	t__SGB2230	msp_0064
SGB8779	t__SGB8779	msp_0503
SGB1776	t__SGB1776	msp_0950c
SGB14139	t__SGB14139	msp_0871
SGB10079	t__SGB10079	msp_1432
SGB15031	t__SGB15031	msp_0312
SGB1973	t__SGB1973	msp_1215
SGB6609	t__SGB6609	msp_1389
SGB13997	t__SGB13997	msp_1166
SGB14947	t__SGB14947	msp_1460
SGB4329	t__SGB4329	msp_1386
SGB15323	t__SGB15323	msp_0345
SGB5903	t__SGB5903	msp_1326
SGB8057	t__SGB8057	msp_1599
SGB15237	t__SGB15237	msp_0976
SGB9245	t__SGB9245	msp_0967
SGB9947	t__SGB9947	msp_0368c
SGB5744	t__SGB5744	msp_0744
SGB6478	t__SGB6478	msp_0512
SGB14963	t__SGB14963	msp_0522
SGB6571	t__SGB6571	msp_0811
SGB4891	t__SGB4891	msp_0330
SGB4422	t__SGB4422	msp_0262
SGB8053	t__SGB8053	msp_1748
SGB15402	t__SGB15402	msp_1172
SGB1797	t__SGB1797	msp_0097
SGB4673	t__SGB4673	msp_0365
SGB6321	t__SGB6321	msp_1004
SGB2312	t__SGB2312	msp_0417
SGB7041	t__SGB7041	msp_1265
SGB14794	t__SGB14794	msp_1051
SGB8007_group	t__SGB8007_group	msp_0380
SGB5117	t__SGB5117	msp_0042
SGB1784	t__SGB1784	msp_0128
SGB4750	t__SGB4750	msp_0591
SGB2279	t__SGB2279	msp_0764
SGB53807	t__SGB53807	msp_1572
SGB8059_group	t__SGB8059_group	msp_1702
SGB4606	t__SGB4606	msp_0510
SGB6697	t__SGB6697	msp_1168
SGB5820	t__SGB5820	msp_1153
SGB6139	t__SGB6139	msp_0860
SGB4274	t__SGB4274	msp_0839
SGB5818	t__SGB5818	msp_0383
SGB17248	t__SGB17248	msp_0166
SGB3926_group	t__SGB3926_group	msp_1293
SGB2085	t__SGB2085	msp_0593
SGB5060	t__SGB5060	msp_1270
SGB14315	t__SGB14315	msp_1400
SGB2298	t__SGB2298	msp_0637
SGB4990	t__SGB4990	msp_0185
SGB14851	t__SGB14851	msp_1671c
SGB5090	t__SGB5090	msp_0572
SGB14912	t__SGB14912	msp_0203
SGB6249	t__SGB6249	msp_1408
SGB14954	t__SGB14954	msp_0526
SGB15463	t__SGB15463	msp_1696c:0.525322163970816,msp_2159:0.47467783602918406
SGB14843	t__SGB14843	msp_0914
SGB2310	t__SGB2310	msp_1026
SGB15506	t__SGB15506	msp_1714
SGB4757	t__SGB4757	msp_0049
SGB6607	t__SGB6607	msp_0886
SGB4909	t__SGB4909	msp_0480
SGB9256	t__SGB9256	msp_1088
SGB3573	t__SGB3573	msp_1094
SGB6290	t__SGB6290	msp_1175
SGB2278	t__SGB2278	msp_0951
SGB4151	t__SGB4151	msp_1712
SGB4529	t__SGB4529	msp_0200
SGB5290	t__SGB5290	msp_1705
SGB1981	t__SGB1981	msp_1570
SGB4059	t__SGB4059	msp_0978
SGB15093	t__SGB15093	msp_0534
SGB14255	t__SGB14255	msp_1465
SGB14109	t__SGB14109	msp_0806
SGB2286	t__SGB2286	msp_0230
SGB1963	t__SGB1963	msp_0139
SGB14148	t__SGB14148	msp_1486
SGB1861	t__SGB1861	msp_0011
SGB5910	t__SGB5910	msp_0714c
SGB4608	t__SGB4608	msp_0126
SGB4711	t__SGB4711	msp_1236
SGB6274	t__SGB6274	msp_1855
SGB13975	t__SGB13975	msp_1458
SGB9280	t__SGB9280	msp_0386
SGB6456	t__SGB6456	msp_1230
SGB15317	t__SGB15317	msp_0457
SGB6033	t__SGB6033	msp_1861
SGB10130	t__SGB10130	msp_0108
SGB6765	t__SGB6765	msp_1647
SGB1504	t__SGB1504	msp_1126
SGB4184	t__SGB4184	msp_0286
SGB1791	t__SGB1791	msp_0184
SGB4316	t__SGB4316	msp_0962
SGB14740	t__SGB14740	msp_0999
SGB5790	t__SGB5790	msp_0413
SGB14837	t__SGB14837	msp_1724
SGB2071	t__SGB2071	msp_0199
SGB4906	t__SGB4906	msp_0397
SGB955	t__SGB955	msp_1466
SGB9347	t__SGB9347	msp_0375
SGB8620	t__SGB8620	msp_0328
SGB15132	t__SGB15132	msp_0213
SGB1878	t__SGB1878	msp_0061
SGB2126	t__SGB2126	msp_0802
SGB6288	t__SGB6288	msp_1348
SGB15383	t__SGB15383	msp_1347c
SGB1472	t__SGB1472	msp_0300
SGB4728	t__SGB4728	msp_0177
SGB15040	t__SGB15040	msp_1029
SGB4143	t__SGB4143	msp_1871
SGB4770	t__SGB4770	msp_0473c
SGB4027	t__SGB4027	msp_0949
SGB8631	t__SGB8631	msp_0824
SGB15130	t__SGB15130	msp_1652
SGB8249	t__SGB8249	msp_0853c
SGB1803	t__SGB1803	msp_1870
SGB5749	t__SGB5749	msp_0889
SGB17237	t__SGB17237	msp_0138
SGB4174	t__SGB4174	msp_0445
SGB6648	t__SGB6648	msp_1245
SGB17234	t__SGB17234	msp_0570
SGB6579	t__SGB6579	msp_0821
SGB15389	t__SGB15389	msp_1485
SGB15107	t__SGB15107	msp_0192
SGB15204	t__SGB15204	msp_0541
SGB1799	t__SGB1799	msp_0607
SGB2155	t__SGB2155	msp_0888
SGB381	t__SGB381	msp_1467
SGB2119	t__SGB2119	msp_0428
SGB15257	t__SGB15257	msp_0965
SGB9262	t__SGB9262	msp_0145
SGB4659	t__SGB4659	msp_0175
SGB2287	t__SGB2287	msp_1841
SGB4780	t__SGB4780	msp_0563
SGB1815	t__SGB1815	msp_0035
SGB14193	t__SGB14193	msp_0676
SGB14849	t__SGB14849	msp_0577
SGB14855	t__SGB14855	msp_2054
SGB1860	t__SGB1860	msp_0019
SGB1593	t__SGB1593	msp_1249
SGB4782	t__SGB4782	msp_1492
SGB10118	t__SGB10118	msp_0140
SGB4905	t__SGB4905	msp_0561
SGB4026	t__SGB4026	msp_1299
SGB14332	t__SGB14332	msp_1217
SGB15403	t__SGB15403	msp_0560
SGB14845	t__SGB14845	msp_1013
SGB15469	t__SGB15469	msp_1848
SGB6309	t__SGB6309	msp_1897
SGB14936	t__SGB14936	msp_1672
SGB47659	t__SGB47659	msp_1123
SGB4290	t__SGB4290	msp_0095
SGB2306	t__SGB2306	msp_1209
SGB2295	t__SGB2295	msp_0196
SGB14003	t__SGB14003	msp_1274
SGB14993	t__SGB14993	msp_0769
SGB47381	t__SGB47381	msp_1938
SGB5071	t__SGB5071	msp_0548
SGB14373	t__SGB14373	msp_1142
