Simulation	Sample	Richness
refKrak	SAMEA2467033	432
refKrak	SAMEA3136625	454
refKrak	SAMEA3136630	564
refKrak	SAMEA3136709	367
refKrak	SAMEA3136649	206
refKrak	SAMEA2466967	451
refKrak	SAMEA3136656	445
refKrak	SAMEA2467048	503
refKrak	SAMEA2466910	748
refKrak	SAMEA2466928	587
refKrak	SAMEA3136767	465
refKrak	SAMEA3136723	592
refKrak	SAMEA3136696	513
refKrak	SAMEA3136736	444
refKrak	SAMEA2466939	616
refKrak	SAMEA2466997	658
refKrak	SAMEA2466899	654
refKrak	SAMEA2467025	597
refKrak	SAMEA3136658	650
refKrak	SAMEA3136667	489
refKrak	SAMEA2466934	563
refKrak	SAMEA3136764	482
refKrak	SAMEA2467023	423
refKrak	SAMEA3136672	442
refKrak	SAMEA3136631	407
refKrak	SAMEA2466915	355
refKrak	SAMEA2466996	638
refKrak	SAMEA2466913	749
refKrak	SAMEA2466940	786
refKrak	SAMEA3136694	581
refKrak	SAMEA2466903	709
refKrak	SAMEA3136650	288
refKrak	SAMEA3136697	518
refKrak	SAMEA2466898	509
refKrak	SAMEA3136678	371
refKrak	SAMEA3136642	694
refKrak	SAMEA2467036	725
refKrak	SAMEA3136740	520
refKrak	SAMEA2466980	435
refKrak	SAMEA3136748	387
refKrak	SAMEA3136732	600
refKrak	SAMEA3136655	375
refKrak	SAMEA2466904	667
refKrak	SAMEA2467049	637
refKrak	SAMEA2466900	520
refKrak	SAMEA2466936	486
refKrak	SAMEA2467016	605
refKrak	SAMEA2466943	445
refKrak	SAMEA2466897	561
refKrak	SAMEA3136665	322
refKrak	SAMEA2466950	371
refKrak	SAMEA3136648	544
refKrak	SAMEA3136706	467
refKrak	SAMEA3136646	356
refKrak	SAMEA3136661	288
refKrak	SAMEA3136762	462
refKrak	SAMEA3136660	296
refKrak	SAMEA3136629	499
refKrak	SAMEA3136687	432
refKrak	SAMEA3136735	334
refKrak	SAMEA2466937	617
refKrak	SAMEA2466889	953
refKrak	SAMEA3136759	636
refKrak	SAMEA3136763	632
refKrak	SAMEA3136753	468
refKrak	SAMEA2467003	635
refKrak	SAMEA3136673	465
refKrak	SAMEA2467002	398
refKrak	SAMEA2467039	784
refKrak	SAMEA2466975	373
refKrak	SAMEA3136689	558
refKrak	SAMEA3136676	562
refKrak	SAMEA3136664	422
refKrak	SAMEA3136754	669
refKrak	SAMEA2467076	559
refKrak	SAMEA3136674	400
refKrak	SAMEA3136685	573
refKrak	SAMEA3136671	482
refKrak	SAMEA2466921	473
refKrak	SAMEA3136688	540
refKrak	SAMEA3136679	281
refKrak	SAMEA2466935	544
refKrak	SAMEA2466947	548
refKrak	SAMEA3136670	444
refKrak	SAMEA3136733	473
refKrak	SAMEA3136644	678
refKrak	SAMEA2466891	472
refKrak	SAMEA3136700	720
refKrak	SAMEA2466901	385
refKrak	SAMEA3136626	352
refKrak	SAMEA3136707	544
refKrak	SAMEA2467058	423
refKrak	SAMEA2466916	453
refKrak	SAMEA2466912	452
refKrak	SAMEA2466973	497
refKrak	SAMEA2467067	633
refKrak	SAMEA2467006	394
refKrak	SAMEA3136641	626
refKrak	SAMEA2467069	504
refKrak	SAMEA3136713	528
refKrak	SAMEA2466993	624
refKrak	SAMEA3136739	536
refKrak	SAMEA3178936	356
refKrak	SAMEA3136682	438
refKrak	SAMEA3136751	617
refKrak	SAMEA2466945	557
refKrak	SAMEA3136684	687
refKrak	SAMEA3136743	592
refKrak	SAMEA2467075	573
refKrak	SAMEA2467001	251
refKrak	SAMEA3136710	265
refKrak	SAMEA3136744	428
refKrak	SAMEA2466960	662
refKrak	SAMEA2466988	646
refKrak	SAMEA3136653	415
refKrak	SAMEA2467027	624
refKrak	SAMEA2466984	832
refKrak	SAMEA2466999	468
refKrak	SAMEA3178943	628
refKrak	SAMEA3136729	600
refKrak	SAMEA3136669	487
refKrak	SAMEA2466914	514
refKrak	SAMEA2467044	600
refKrak	SAMEA2466924	495
refKrak	SAMEA2466895	537
refKrak	SAMEA3136657	368
refKrak	SAMEA3136690	213
refKrak	SAMEA2467019	690
refKrak	SAMEA3136737	382
refKrak	SAMEA2467014	566
refKrak	SAMEA2467084	688
refKrak	SAMEA3136651	491
refKrak	SAMEA2466981	618
refKrak	SAMEA2466959	553
refKrak	SAMEA3136691	478
refKrak	SAMEA2466887	494
refKrak	SAMEA2466948	461
refKrak	SAMEA3136652	589
refKrak	SAMEA2467008	460
refKrak	SAMEA3178937	605
refKrak	SAMEA3136659	639
refKrak	SAMEA2467042	652
refKrak	SAMEA2467074	656
refKrak	SAMEA2466907	303
refKrak	SAMEA2467012	636
refKrak	SAMEA2466968	652
refKrak	SAMEA3136721	525
refKrak	SAMEA2466972	697
refKrak	SAMEA3136755	520
refKrak	SAMEA2466911	572
refKrak	SAMEA3136716	486
refKrak	SAMEA3136725	674
refKrak	SAMEA2466933	508
refKrak	SAMEA2467017	627
refKrak	SAMEA2467052	484
refKrak	SAMEA2466926	248
refKrak	SAMEA3136695	559
refKrak	SAMEA3178944	563
refKrak	SAMEA2467050	655
refKrak	SAMEA3136668	278
refKrak	SAMEA2466963	500
refKrak	SAMEA2466892	450
refKrak	SAMEA2466986	645
refKrak	SAMEA3136761	588
refKrak	SAMEA2467053	481
refKrak	SAMEA3136675	547
refKrak	SAMEA3136633	306
refKrak	SAMEA2467062	579
refKrak	SAMEA2466989	457
refKrak	SAMEA2466952	429
refKrak	SAMEA2467024	476
refKrak	SAMEA2467037	533
refKrak	SAMEA3136705	620
refKrak	SAMEA3136757	546
refKrak	SAMEA2466971	434
refKrak	SAMEA3136704	498
refKrak	SAMEA3136714	384
refKrak	SAMEA2467031	547
refKrak	SAMEA2466888	455
refKrak	SAMEA3136702	236
refKrak	SAMEA2467035	770
refKrak	SAMEA3136643	368
refKrak	SAMEA3136768	227
refKrak	SAMEA2466905	448
refKrak	SAMEA3136663	444
refKrak	SAMEA2466958	447
refKrak	SAMEA2467020	586
refKrak	SAMEA2467018	488
refKrak	SAMEA3136681	285
refKrak	SAMEA3136699	667
refKrak	SAMEA2466925	731
refKrak	SAMEA3178940	314
refKrak	SAMEA3136750	405
refKrak	SAMEA3136703	456
refKrak	SAMEA2467009	204
refKrak	SAMEA3136627	613
refKrak	SAMEA3136752	650
refKrak	SAMEA2467030	546
refKrak	SAMEA3136634	501
refKrak	SAMEA2466923	294
refKrak	SAMEA2466964	716
refKrak	SAMEA2466970	597
refKrak	SAMEA2466949	492
refKrak	SAMEA2467078	627
refKrak	SAMEA2466983	305
refKrak	SAMEA2467055	677
refKrak	SAMEA2466992	674
refKrak	SAMEA2467026	677
refKrak	SAMEA3136745	366
refKrak	SAMEA2467004	525
refKrak	SAMEA2466965	739
refKrak	SAMEA2466995	658
refKrak	SAMEA2467041	500
refKrak	SAMEA2467029	631
refKrak	SAMEA3136637	396
refKrak	SAMEA2466955	947
refKrak	SAMEA3136693	431
refKrak	SAMEA2467038	401
refKrak	SAMEA2466957	673
refKrak	SAMEA2466974	584
refKrak	SAMEA3178941	434
refKrak	SAMEA2467073	453
refKrak	SAMEA3136758	295
refKrak	SAMEA2467045	555
refKrak	SAMEA2467028	573
refKrak	SAMEA2467011	431
refKrak	SAMEA2467047	401
refKrak	SAMEA2467015	602
refKrak	SAMEA2466991	443
refKrak	SAMEA3136724	504
refKrak	SAMEA3136717	493
refKrak	SAMEA2467040	560
refKrak	SAMEA3136720	355
refKrak	SAMEA3136746	701
refKrak	SAMEA3136624	390
refKrak	SAMEA3136640	436
refKrak	SAMEA2467060	574
refKrak	SAMEA2466944	391
refKrak	SAMEA2466894	390
refKrak	SAMEA2467071	676
refKrak	SAMEA2466930	458
refKrak	SAMEA3136654	640
refKrak	SAMEA2466954	464
refKrak	SAMEA3136698	698
refKrak	SAMEA2467051	561
refKrak	SAMEA2466942	642
refKrak	SAMEA2466953	500
refKrak	SAMEA2466890	724
refKrak	SAMEA2466938	607
refKrak	SAMEA2466979	749
refKrak	SAMEA3136738	621
refKrak	SAMEA3178938	512
refKrak	SAMEA2466977	654
refKrak	SAMEA3178942	378
refKrak	SAMEA2466966	547
refKrak	SAMEA2466951	556
refKrak	SAMEA3136728	468
refKrak	SAMEA2466961	477
refKrak	SAMEA3136765	369
refKrak	SAMEA3136692	403
refKrak	SAMEA2466976	521
refKrak	SAMEA3136769	302
refKrak	SAMEA2466931	709
refKrak	SAMEA2466908	421
refKrak	SAMEA2467081	627
refKrak	SAMEA2466946	824
refKrak	SAMEA3136766	420
refKrak	SAMEA2466896	304
refKrak	SAMEA3136666	412
refKrak	SAMEA3136730	467
refKrak	SAMEA2467064	402
refKrak	SAMEA3136718	635
refKrak	SAMEA2466987	575
refKrak	SAMEA3136632	617
refKrak	SAMEA2466927	771
refKrak	SAMEA2466962	541
refKrak	SAMEA3136636	311
refKrak	SAMEA3136639	277
refKrak	SAMEA2467046	592
refKrak	SAMEA3136645	570
refKrak	SAMEA3136742	547
refKrak	SAMEA3136686	387
refKrak	SAMEA2466941	459
refKrak	SAMEA2466998	322
refKrak	SAMEA2467022	655
refKrak	SAMEA2467063	565
refKrak	SAMEA3136647	214
refKrak	SAMEA3136677	235
refKrak	SAMEA2467079	435
refKrak	SAMEA2466956	227
refKrak	SAMEA2466893	330
refKrak	SAMEA3136726	646
refKrak	SAMEA3136719	476
refKrak	SAMEA2467080	655
refKrak	SAMEA2467043	482
refKrak	SAMEA3136715	504
refKrak	SAMEA2467061	782
refKrak	SAMEA2466969	332
refKrak	SAMEA2467083	805
refKrak	SAMEA2466906	431
refKrak	SAMEA3136701	491
