		reference	motus3	metaphlan4	metaphlan3	kraken2
SAMEA2467057	Raw_mOTUs	441.0	421.0	365.0	137.0	545.0
SAMEA2467057	Lost_mOTUs	0.0	0.0	0.0	0.0	65.0
SAMEA2467057	Lost_abundance	2.220446049250313e-16	0.0	0.0	-2.220446049250313e-16	0.03136607511349565
SAMEA2467057	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.11926605504587157
SAMEA3136623	Kept_abundance	0.9999999999999998	1.0	1.0	0.9999999999999998	0.966293289487206
SAMEA3136623	Kept_mOTUs	298.0	287.0	250.0	94.0	426.0
SAMEA3136623	Raw_mOTUs	298.0	287.0	250.0	94.0	506.0
SAMEA3136623	Lost_mOTUs	0.0	0.0	0.0	0.0	80.0
SAMEA3136623	Lost_abundance	2.220446049250313e-16	0.0	0.0	2.220446049250313e-16	0.03370671051279395
SAMEA3136623	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.15810276679841898
SAMEA2467034	Kept_abundance	1.0	0.9998741287899289	1.0	0.9999999999999999	0.9634121274409042
SAMEA2467034	Kept_mOTUs	585.0	551.0	490.0	195.0	601.0
SAMEA2467034	Raw_mOTUs	585.0	552.0	490.0	195.0	672.0
SAMEA2467034	Lost_mOTUs	0.0	1.0	0.0	0.0	71.0
SAMEA2467034	Lost_abundance	0.0	0.00012587121007112678	0.0	1.1102230246251565e-16	0.03658787255909579
SAMEA2467034	Lost_mOTUs_frac	0.0	0.0018115942028985507	0.0	0.0	0.1056547619047619
SAMEA3136683	Kept_abundance	1.0	1.0	1.0	1.0	0.9644964289411035
SAMEA3136683	Kept_mOTUs	563.0	524.0	461.0	163.0	608.0
SAMEA3136683	Raw_mOTUs	563.0	524.0	461.0	163.0	717.0
SAMEA3136683	Lost_mOTUs	0.0	0.0	0.0	0.0	109.0
SAMEA3136683	Lost_abundance	0.0	0.0	0.0	0.0	0.035503571058896455
SAMEA3136683	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.15202231520223153
SAMEA3136734	Kept_abundance	0.9999999999999999	1.0	1.0	0.9999999999999999	0.9550864120873437
SAMEA3136734	Kept_mOTUs	524.0	512.0	453.0	218.0	614.0
SAMEA3136734	Raw_mOTUs	524.0	512.0	453.0	218.0	690.0
SAMEA3136734	Lost_mOTUs	0.0	0.0	0.0	0.0	76.0
SAMEA3136734	Lost_abundance	1.1102230246251565e-16	0.0	0.0	1.1102230246251565e-16	0.044913587912656316
SAMEA3136734	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.11014492753623188
SAMEA2467059	Kept_abundance	1.0	0.9995862174030568	0.9999999999999998	1.0000000000000002	0.9632548618219039
SAMEA2467059	Kept_mOTUs	439.0	349.0	298.0	128.0	483.0
SAMEA2467059	Raw_mOTUs	439.0	350.0	298.0	128.0	548.0
SAMEA2467059	Lost_mOTUs	0.0	1.0	0.0	0.0	65.0
SAMEA2467059	Lost_abundance	0.0	0.00041378259694324626	2.220446049250313e-16	-2.220446049250313e-16	0.036745138178096104
SAMEA2467059	Lost_mOTUs_frac	0.0	0.002857142857142857	0.0	0.0	0.11861313868613138
SAMEA3136760	Kept_abundance	1.0	1.0	1.0	1.0	0.9402460456942003
SAMEA3136760	Kept_mOTUs	621.0	568.0	501.0	180.0	844.0
SAMEA3136760	Raw_mOTUs	621.0	568.0	501.0	180.0	989.0
SAMEA3136760	Lost_mOTUs	0.0	0.0	0.0	0.0	145.0
SAMEA3136760	Lost_abundance	0.0	0.0	0.0	0.0	0.05975395430579966
SAMEA3136760	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.14661274014155712
SAMEA2467010	Kept_abundance	1.0	1.0	1.0	0.9999999999999999	0.9768485466598674
SAMEA2467010	Kept_mOTUs	346.0	346.0	296.0	133.0	403.0
SAMEA2467010	Raw_mOTUs	346.0	346.0	296.0	133.0	459.0
SAMEA2467010	Lost_mOTUs	0.0	0.0	0.0	0.0	56.0
SAMEA2467010	Lost_abundance	0.0	0.0	0.0	1.1102230246251565e-16	0.023151453340132577
SAMEA2467010	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.12200435729847495
SAMEA2467072	Kept_abundance	1.0	0.9998974549731969	0.9999999999999998	1.0	0.9566024121224614
SAMEA2467072	Kept_mOTUs	709.0	638.0	556.0	184.0	696.0
SAMEA2467072	Raw_mOTUs	709.0	639.0	556.0	184.0	793.0
SAMEA2467072	Lost_mOTUs	0.0	1.0	0.0	0.0	97.0
SAMEA2467072	Lost_abundance	0.0	0.0001025450268030692	2.220446049250313e-16	0.0	0.04339758787753856
SAMEA2467072	Lost_mOTUs_frac	0.0	0.001564945226917058	0.0	0.0	0.1223203026481715
SAMEA3136727	Kept_abundance	1.0	0.9998854541497142	1.0	1.0	0.9641754169240271
SAMEA3136727	Kept_mOTUs	676.0	606.0	535.0	198.0	696.0
SAMEA3136727	Raw_mOTUs	676.0	607.0	535.0	198.0	798.0
SAMEA3136727	Lost_mOTUs	0.0	1.0	0.0	0.0	102.0
SAMEA3136727	Lost_abundance	0.0	0.00011454585028580766	0.0	0.0	0.035824583075972916
SAMEA3136727	Lost_mOTUs_frac	0.0	0.0016474464579901153	0.0	0.0	0.12781954887218044
SAMEA2467066	Kept_abundance	1.0	0.9998461137855326	0.9999999999999998	0.9999999999999998	0.9486758365838637
SAMEA2467066	Kept_mOTUs	618.0	518.0	436.0	184.0	624.0
SAMEA2467066	Raw_mOTUs	618.0	519.0	436.0	184.0	719.0
SAMEA2467066	Lost_mOTUs	0.0	1.0	0.0	0.0	95.0
SAMEA2467066	Lost_abundance	0.0	0.00015388621446743578	2.220446049250313e-16	2.220446049250313e-16	0.051324163416136326
SAMEA2467066	Lost_mOTUs_frac	0.0	0.0019267822736030828	0.0	0.0	0.13212795549374132
SAMEA3136747	Kept_abundance	0.9999999999999999	0.9999999999999999	1.0	1.0000000000000002	0.9595524073503748
SAMEA3136747	Kept_mOTUs	357.0	337.0	286.0	121.0	566.0
SAMEA3136747	Raw_mOTUs	357.0	337.0	286.0	121.0	649.0
SAMEA3136747	Lost_mOTUs	0.0	0.0	0.0	0.0	83.0
SAMEA3136747	Lost_abundance	1.1102230246251565e-16	1.1102230246251565e-16	0.0	-2.220446049250313e-16	0.040447592649625164
SAMEA3136747	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.12788906009244994
SAMEA3136756	Kept_abundance	1.0	0.9999999999999998	1.0	1.0	0.9604268103180358
SAMEA3136756	Kept_mOTUs	534.0	529.0	450.0	157.0	704.0
SAMEA3136756	Raw_mOTUs	534.0	529.0	450.0	157.0	842.0
SAMEA3136756	Lost_mOTUs	0.0	0.0	0.0	0.0	138.0
SAMEA3136756	Lost_abundance	0.0	2.220446049250313e-16	0.0	0.0	0.039573189681964216
SAMEA3136756	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.16389548693586697
SAMEA2467077	Kept_abundance	1.0	1.0	1.0	1.0	0.9466364479241783
SAMEA2467077	Kept_mOTUs	610.0	543.0	472.0	165.0	654.0
SAMEA2467077	Raw_mOTUs	610.0	543.0	472.0	165.0	762.0
SAMEA2467077	Lost_mOTUs	0.0	0.0	0.0	0.0	108.0
SAMEA2467077	Lost_abundance	0.0	0.0	0.0	0.0	0.05336355207582166
SAMEA2467077	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.14173228346456693
SAMEA2466917	Kept_abundance	0.9999999999999997	0.9996581623876044	1.0	1.0	0.9404749770665582
SAMEA2466917	Kept_mOTUs	248.0	196.0	171.0	91.0	314.0
SAMEA2466917	Raw_mOTUs	248.0	197.0	171.0	91.0	376.0
SAMEA2466917	Lost_mOTUs	0.0	1.0	0.0	0.0	62.0
SAMEA2466917	Lost_abundance	3.3306690738754696e-16	0.0003418376123955902	0.0	0.0	0.05952502293344175
SAMEA2466917	Lost_mOTUs_frac	0.0	0.005076142131979695	0.0	0.0	0.16489361702127658
SAMEA2467054	Kept_abundance	1.0	1.0	1.0000000000000002	1.0	0.9706583722135819
SAMEA2467054	Kept_mOTUs	648.0	602.0	528.0	200.0	710.0
SAMEA2467054	Raw_mOTUs	648.0	602.0	528.0	200.0	808.0
SAMEA2467054	Lost_mOTUs	0.0	0.0	0.0	0.0	98.0
SAMEA2467054	Lost_abundance	0.0	0.0	-2.220446049250313e-16	0.0	0.029341627786418134
SAMEA2467054	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.12128712871287128
SAMEA3136749	Kept_abundance	1.0	0.9998845931645739	1.0	0.9999999999999999	0.9719269274434925
SAMEA3136749	Kept_mOTUs	520.0	485.0	409.0	152.0	620.0
SAMEA3136749	Raw_mOTUs	520.0	486.0	409.0	152.0	718.0
SAMEA3136749	Lost_mOTUs	0.0	1.0	0.0	0.0	98.0
SAMEA3136749	Lost_abundance	0.0	0.00011540683542610175	0.0	1.1102230246251565e-16	0.028073072556507483
SAMEA3136749	Lost_mOTUs_frac	0.0	0.00205761316872428	0.0	0.0	0.13649025069637882
SAMEA2467013	Kept_abundance	1.0	1.0	0.9999999999999999	1.0	0.963561502830674
SAMEA2467013	Kept_mOTUs	643.0	558.0	490.0	209.0	618.0
SAMEA2467013	Raw_mOTUs	643.0	558.0	490.0	209.0	713.0
SAMEA2467013	Lost_mOTUs	0.0	0.0	0.0	0.0	95.0
SAMEA2467013	Lost_abundance	0.0	0.0	1.1102230246251565e-16	0.0	0.03643849716932601
SAMEA2467013	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.1332398316970547
