,simulation,kraken2 + bracken,metaphlan3,motus3,metaphlan4
SAMEA3136693,122,309,77,106,100
SAMEA3136694,256,459,125,222,217
SAMEA3136695,257,419,114,215,210
SAMEA3136696,263,447,110,230,212
SAMEA3136697,190,435,103,166,158
SAMEA3136698,310,440,130,265,250
SAMEA3136699,334,552,131,305,296
SAMEA3136700,325,491,133,274,272
SAMEA3136701,207,469,104,190,175
SAMEA3136702,55,257,43,50,47
SAMEA3136703,208,377,114,177,180
SAMEA3136704,183,384,105,167,155
SAMEA3136705,252,491,114,230,219
SAMEA3136706,154,339,98,131,122
SAMEA3136707,267,513,109,242,229
SAMEA3136708,85,272,58,82,76
SAMEA3136709,241,466,122,212,196
SAMEA3136710,64,289,46,58,55
SAMEA3136711,103,287,60,95,90
SAMEA3136712,100,293,55,86,79
SAMEA3136713,279,485,131,244,238
SAMEA3136714,148,317,76,128,125
SAMEA3136715,175,350,92,153,135
SAMEA3136716,235,394,120,209,208
SAMEA3136717,187,401,107,176,165
SAMEA3136718,329,537,141,296,291
SAMEA3136719,181,359,88,160,148
SAMEA3136720,100,268,67,94,79
SAMEA3136721,251,364,113,221,213
SAMEA3136722,96,270,56,86,76
SAMEA3136723,265,450,126,226,213
SAMEA3136724,149,383,101,135,128
SAMEA3136725,283,489,137,253,246
SAMEA3136726,316,457,149,270,256
SAMEA3136727,293,513,145,265,253
SAMEA3136728,255,384,110,209,210
SAMEA3136729,314,526,134,282,277
SAMEA3136730,151,385,107,138,123
SAMEA3136731,225,426,101,186,181
SAMEA3136732,254,475,115,213,214
SAMEA3136733,161,387,105,143,134
SAMEA3136734,356,498,184,294,277
SAMEA3136735,151,298,79,134,113
SAMEA3136736,178,413,91,149,145
SAMEA3136737,162,366,90,133,119
SAMEA3136738,339,459,139,307,293
SAMEA3136739,196,435,118,182,168
SAMEA3136740,238,422,125,209,201
SAMEA3136741,236,443,126,193,187
SAMEA3136742,195,422,117,170,162
SAMEA3136743,313,530,133,275,273
SAMEA3136744,146,304,88,126,125
SAMEA3136745,174,274,87,143,135
SAMEA3136746,325,544,150,271,265
SAMEA3136747,148,317,74,126,116
SAMEA3136748,145,342,99,128,126
SAMEA3136749,235,399,106,198,199
SAMEA3136750,119,316,65,106,96
SAMEA3136751,305,495,120,271,261
SAMEA3136752,291,496,138,259,245
