		kraken2 + bracken	metaphlan3	motus3	metaphlan4
SAMEA2466888	PPV	0.6709265175611673	0.950354609861677	0.9304123711100409	0.9678284182046158
SAMEA2466888	NPV	0.9981198589870784	0.9379746835423249	0.9850879145315267	0.9851375332719939
SAMEA2466888	FDR	0.3290734824228582	0.049645390067401034	0.06958762886418589	0.032171581768574486
SAMEA2466888	FOR	0.0018801410105713746	0.062025316455565346	0.014912085466247692	0.014862466725787794
SAMEA2466888	P_T	0.1282524072935874	0.028887523048555623	0.07949190739602541	0.07641876664617907
SAMEA2466888	P_F	0.8717475927064127	0.9711124769514444	0.9205080926039746	0.9235812333538209
SAMEA2466888	FPRA	0.06843198338524806	0.0528151841554446	0.059860078239904004	0.034375806875161
SAMEA2466888	FNRA	0.009540190803816002	0.5387607752155018	0.14399287985759635	0.10946218924378427
SAMEA2466888	F1	0.796963946861509	0.47100175746096656	0.8848039215577843	0.9013732833845022
SAMEA2466888	ACC	0.9561565253002332	0.9383323089511609	0.9807416512989536	0.9838147920487936
SAMEA2466888	Dice	0.2030360531309298	0.5289982425307557	0.11519607843137254	0.0986267166042447
SAMEA2466889	TP	764.0	194.0	620.0	555.0
SAMEA2466889	FN	126.0	696.0	270.0	335.0
SAMEA2466889	FP	128.0	12.0	48.0	23.0
SAMEA2466889	TN	3863.0	3979.0	3943.0	3968.0
SAMEA2466889	TPR	0.8584269662824896	0.21797752808743845	0.6966292134753188	0.6235955056109709
SAMEA2466889	FPR	0.032072162365241616	0.0030067652217414015	0.012027060886965606	0.005762966675004352
SAMEA2466889	TNR	0.9679278376322528	0.996993234775753	0.9879729391105287	0.99423703332249
SAMEA2466889	FNR	0.14157303370627447	0.7820224719013256	0.3033707865134453	0.3764044943777932
SAMEA2466889	PPV	0.8565022421428643	0.941747572769818	0.928143712560956	0.9602076124401348
SAMEA2466889	NPV	0.9684131361219143	0.8511229946505858	0.9359126513151296	0.922147339063625
SAMEA2466889	FDR	0.14349775784592492	0.05825242718163823	0.071856287424074	0.039792387542564145
