,simulation,kraken2 + bracken,metaphlan3,motus3,metaphlan4
SAMEA3136681,285,320,95,197,181
SAMEA3136682,438,474,160,381,370
SAMEA3136683,563,579,182,477,460
SAMEA3136684,687,802,217,588,566
SAMEA3136685,573,754,185,473,425
SAMEA3136686,387,425,145,309,292
SAMEA3136687,432,462,140,364,337
SAMEA3136688,540,560,185,444,429
SAMEA3136689,558,769,200,498,464
SAMEA3136690,213,329,99,166,164
SAMEA3136691,478,640,148,389,326
SAMEA3136692,403,418,143,313,289
SAMEA3136693,431,619,148,358,314
SAMEA3136694,581,640,183,498,481
SAMEA3136695,559,545,183,483,461
SAMEA3136696,513,760,165,420,392
SAMEA3136697,518,546,180,428,415
SAMEA3136698,698,770,216,563,531
SAMEA3136699,667,661,193,575,541
SAMEA3136700,720,663,207,602,567
SAMEA3136701,491,560,190,411,396
SAMEA3136702,236,322,104,200,202
SAMEA3136703,456,481,172,398,380
SAMEA3136704,498,701,173,433,393
SAMEA3136705,620,679,196,530,493
SAMEA3136706,467,502,163,380,346
SAMEA3136707,544,590,160,458,438
SAMEA3136708,289,503,101,254,215
SAMEA3136709,367,753,157,340,311
SAMEA3136710,265,374,86,245,218
SAMEA3136711,328,440,107,295,267
SAMEA3136712,370,403,126,299,286
SAMEA3136713,528,612,189,470,440
SAMEA3136714,384,563,135,342,306
SAMEA3136715,504,644,173,429,393
SAMEA3136716,486,710,184,412,376
SAMEA3136717,493,713,175,422,384
SAMEA3136718,635,627,197,550,530
SAMEA3136719,476,649,148,386,347
SAMEA3136720,355,612,129,268,228
SAMEA3136721,525,591,162,463,428
SAMEA3136722,247,295,113,166,162
SAMEA3136723,592,584,216,465,453
SAMEA3136724,504,528,179,359,335
SAMEA3136725,674,675,211,583,556
SAMEA3136726,646,621,225,557,538
SAMEA3136727,676,660,217,555,535
SAMEA3136728,468,633,168,417,387
SAMEA3136729,600,634,199,521,513
SAMEA3136730,467,496,202,360,344
SAMEA3136731,549,567,184,467,442
SAMEA3136732,600,638,206,519,501
SAMEA3136733,473,538,185,405,383
SAMEA3136734,524,575,247,458,452
SAMEA3136735,334,381,140,290,276
SAMEA3136736,444,503,162,375,360
SAMEA3136737,382,459,161,344,327
SAMEA3136738,621,589,198,541,527
SAMEA3136739,536,568,211,448,439
SAMEA3136740,520,547,199,411,389
SAMEA3136741,559,589,205,483,456
SAMEA3136742,547,725,187,457,429
SAMEA3136743,592,675,182,525,495
SAMEA3136744,428,432,146,355,347
SAMEA3136745,366,381,147,314,297
SAMEA3136746,701,829,227,604,579
SAMEA3136747,357,562,134,312,285
SAMEA3136748,387,530,168,341,316
SAMEA3136749,520,613,170,446,408
SAMEA3136750,405,595,126,338,300
SAMEA3136751,617,623,178,523,500
SAMEA3136752,650,652,217,556,532
SAMEA3136753,468,615,164,407,385
SAMEA3136754,669,757,182,577,537
SAMEA3136755,520,709,187,477,436
SAMEA3136756,534,701,176,495,449
SAMEA3136757,546,544,211,453,442
SAMEA3136758,295,472,122,250,227
SAMEA3136759,636,726,212,558,511
SAMEA3136760,621,829,195,526,501
SAMEA3136761,588,588,228,451,416
SAMEA3136762,462,476,156,357,334
SAMEA3136763,632,594,236,466,418
SAMEA3136764,482,668,163,415,373
SAMEA3136765,369,403,160,263,240
SAMEA3136766,420,667,162,351,305
SAMEA3136767,465,640,160,395,357
SAMEA3136768,227,226,116,138,118
SAMEA3136769,302,608,147,256,227
SAMEA3178936,356,538,140,308,289
SAMEA3178937,605,575,187,510,500
SAMEA3178938,512,541,201,434,419
SAMEA3178939,444,526,172,384,369
SAMEA3178940,314,412,137,281,267
SAMEA3178941,434,562,168,392,368
SAMEA3178942,378,474,145,328,314
SAMEA3178943,628,655,218,560,514
SAMEA3178944,563,595,178,487,468
