,simulation,kraken2 + bracken,metaphlan3,motus3,metaphlan4
SAMEA2466917,4.958957841432341,5.115769861134966,4.131447695881663,4.728833990680326,4.589543909508106
SAMEA2466918,6.520837029084642,6.5422590755752665,5.256456044760374,6.4521009939118485,6.208786233360461
SAMEA2466921,6.300484811067063,6.456712724935606,4.87927092781585,6.23316419778328,5.8667013520458715
SAMEA2466922,5.856766285261116,5.880729873406645,4.425096707881475,5.6281754322768665,5.514106509137047
SAMEA2466923,5.506863457997117,5.863789082013269,4.788688114349911,5.286829408148087,5.017884298631634
SAMEA2466924,5.9596925829790885,5.851970749666851,4.533456057425702,5.956077725826989,5.544600364323555
SAMEA2466925,7.764124811650726,7.616407981178256,6.227094002835397,7.60503298262475,7.32286229663422
SAMEA2466926,5.5397236178625695,5.432572245416472,5.138600020223322,5.407573709823524,5.233260884868939
SAMEA2466927,7.184996643949509,7.051686365129988,5.676290434614851,6.93346396915172,6.613781697148294
SAMEA2466928,5.925454262833873,5.827645010792235,4.800880377017113,6.020641578179421,5.359520119276018
SAMEA2466930,6.932797989142852,7.303555320005919,5.798085798727706,6.712377747239862,6.616423540654897
SAMEA2466931,6.847226320154608,6.8766918071605,5.59525768304438,6.871741610833062,6.330435535783941
SAMEA2466932,7.518039250238556,7.291458192345594,5.836590674813706,7.487868671945454,7.03363373640412
SAMEA2466933,6.297213828021869,6.542004768070835,5.167820169854375,6.0493077786895295,5.679657475975242
SAMEA2466934,7.020067276367617,7.1404060329967844,5.720642611497827,6.906662899147786,6.598743084588698
SAMEA2466935,6.851157181834319,6.946077394599969,5.914613713961778,6.693504726621789,6.41420045211112
SAMEA2466936,5.926313347761756,5.77947695264866,4.720025940405511,5.843647570060379,5.342277737650251
SAMEA2466937,6.842220207724313,6.967786410327778,5.0035717873158285,6.747852743520641,6.3685268906764785
SAMEA2466938,6.845821710835424,6.906037818490332,5.310045930634258,6.805490723106517,6.338763147965264
SAMEA2466939,6.897974001097854,7.053930600061053,5.173768369697298,6.8409299778442865,6.420091938021883
SAMEA2466940,7.361567282237711,7.599952415922926,5.98715760950284,7.193976756033395,6.74835816602951
SAMEA2466941,6.376936285724803,6.329179140992681,5.07897731603151,6.420826397817017,5.91113913886257
SAMEA2466942,7.432197524474646,7.60316157770855,5.568098252849541,7.26837819091995,7.0346085554852555
SAMEA2466943,7.123913623612293,7.3089868093141375,5.778910213230666,6.772467350335718,6.782441344184602
SAMEA2466944,5.386232109485089,5.5945054421385185,3.780873574022023,4.7836670168656985,4.778748441952367
SAMEA2466945,6.9405930154542474,7.066549436425547,5.585882540429499,6.7900446586604595,6.560785825642686
SAMEA2466946,6.8344919187555675,6.650855949046236,5.335042653481174,6.794540058786569,6.219082818330548
SAMEA2466947,7.049188480634059,7.130661851065425,5.683464923112394,7.0121453969273695,6.668379364149551
SAMEA2466948,6.798483994957994,6.853097225273136,5.548447376127498,6.682248351086302,6.441424308468285
SAMEA2466949,6.955205513382889,6.893291291308884,5.74748971445697,6.543824380164887,6.5448771239316095
SAMEA2466950,6.122587377388058,6.312507585040641,4.50584206252253,5.762132555371288,5.73968136767601
SAMEA2466951,7.495093455905815,7.5936104828893045,5.990931970325105,7.391935671445521,7.163081234961484
SAMEA2466952,6.523000683924763,6.76937789431787,4.997225659623491,6.3372084809286955,6.1232068381408675
SAMEA2466953,7.076450653290103,7.214243065560758,5.706259620034096,6.910538948070391,6.721140472965806
SAMEA2466954,6.50825455403742,6.366596347674922,5.099003640947755,6.125934956820837,6.017387055780949
SAMEA2466955,7.389367139662397,7.394328159585749,6.036442181223456,7.2455884439388605,6.840447723851174
SAMEA2466956,5.814003910389201,5.8924572119840795,4.901977113713859,5.5045465993053435,5.600553551229657
SAMEA2466957,6.866322199559946,6.5021542098893175,5.3697947697393245,6.758895658781429,6.43849457738049
SAMEA2466958,5.876956802138123,5.925880751614619,4.838042663959365,5.769003966248658,5.451844335106683
SAMEA2466959,6.684846140944401,6.826998209656764,5.3811544370353275,6.4101741053832395,6.225852093598218
